Designação;Alt. Total;Alt. Fora Solo;Bet./Met.;Fz;Fxa;Fya;Fxb;Fyb;Peso;V.Esc;B.Normal;B.Moldado;B.Ciclopico;
MP02-1200/410-18;18,0;15,7;B;2000;560;1200;727;339;3360;3,10;0,00;0,00;2,90;
MP02-1200/410-20;20,0;17,5;B;2000;560;1200;639;298;4100;2,90;0,00;0,00;2,60;
MP02-1200/410-22;22,0;19,5;B;2000;560;1200;546;255;4930;;;;;
MP02-1200/410-24;24,0;21,5;B;2000;560;1200;445;208;5830;3,70;0,00;0,00;3,30;
MP02-1200/410-26;26,0;;B;2000;560;1200;339;158;6810;;;;;
MP02-1200/410-28;28,0;;B;2000;560;1200;226;105;7940;;;;;
MP03-1400/480-14;14,0;11,6;B;2000;650;1400;1050;488;2320;3,46;0,00;0,00;3,11;
MP03-1400/480-16;16,0;13,6;B;2000;650;1400;970;451;2940;3,46;0,00;0,00;3,11;
MP03-1400/480-18;18,0;15,6;B;2000;650;1400;884;410;3630;3,46;0,00;0,00;3,11;
MP03-1400/480-20;20,0;17,5;B;2000;650;1400;791;367;4430;4,23;0,00;0,00;3,80;
MP03-1400/480-22;22,0;19,5;B;2000;650;1400;692;321;5290;4,23;0,00;0,00;3,80;
MP03-1400/480-24;24,0;21,5;B;2000;650;1400;586;272;6240;4,23;0,00;0,00;3,80;
MP03-1400/480-26;26,0;23,5;B;2000;650;1400;474;220;7270;5,63;0,00;0,00;5,06;
MP03-1400/480-28;28,0;25,5;B;2000;650;1400;355;165;8500;5,63;0,00;0,00;5,06;
MP04-1600/540-14;14,0;11,5;B;2000;740;1600;1219;564;2530;3,60;0,00;0,00;3,24;
MP04-1600/540-16;16,0;13,5;B;2000;740;1600;1133;524;3180;3,60;0,00;0,00;3,24;
MP04-1600/540-18;18,0;15,5;B;2000;740;1600;1042;482;3930;3,60;0,00;0,00;3,24;
MP04-1600/540-20;20,0;17,5;B;2000;740;1600;943;436;4760;5,63;0,00;0,00;5,06;
MP04-1600/540-22;22,0;19,5;B;2000;740;1600;839;388;5670;5,63;0,00;0,00;5,06;
MP04-1600/540-24;24,0;21,5;B;2000;740;1600;727;336;6660;5,63;0,00;0,00;5,06;
MP04-1600/540-26;26,0;23,5;B;2000;740;1600;610;282;7790;6,40;0,00;0,00;5,76;
MP04-1600/540-28;28,0;25,5;B;2000;740;1600;486;225;9090;6,40;0,00;0,00;5,76;
CR1;21,5;18,5;M;3754;5853;5853;5853;5853;3470;34,68;10,40;1,60;0,00;
CR2;24,5;21,5;M;3754;5853;5853;5853;5853;4156;38,88;11,66;1,60;0,00;
CR3;27,8;24,8;M;3754;5853;5853;5853;5853;4685;43,32;13,00;1,60;0,00;
CR4;31,1;28,1;M;3754;5853;5853;5853;5853;5535;43,32;13,00;1,60;0,00;
CR5;34,4;31,4;M;3754;5853;5853;5853;5853;6260;48,00;14,40;1,60;0,00;
CR6;37,6;34,6;M;3754;5853;5853;5853;5853;7300;48,00;14,40;1,60;0,00;
CR7;40,9;37,9;M;3754;5853;5853;5853;5853;8320;52,92;15,88;1,60;0,00;
DR0;18,4;15,4;M;3237;16286;16286;16286;16286;4944;69,12;20,74;1,60;0,00;
DR1;21,4;18,4;M;3237;16286;16286;16286;16286;6165;69,12;20,74;1,60;0,00;
DR10;48,4;45,4;M;3237;16286;16286;16286;16286;16420;69,12;20,74;1,60;0,00;
DR11;51,4;48,4;M;3237;16286;16286;16286;16286;17480;69,12;20,74;1,60;0,00;
DR12;54,4;51,4;M;3237;16286;16286;16286;16286;18510;69,12;20,74;1,60;0,00;
DR2;24,4;21,4;M;3237;16286;16286;16286;16286;7471;69,12;20,74;1,60;0,00;
DR3;27,4;24,4;M;3237;16286;16286;16286;16286;8607;69,12;20,74;1,60;0,00;
DR4;30,4;27,4;M;3237;16286;16286;16286;16286;9719;69,12;20,74;1,60;0,00;
DR5;33,4;30,4;M;3237;16286;16286;16286;16286;10687;69,12;20,74;1,60;0,00;
DR6;36,4;33,4;M;3237;16286;16286;16286;16286;11891;69,12;20,74;1,60;0,00;
DR7;39,4;36,4;M;3237;16286;16286;16286;16286;12940;69,12;20,74;1,60;0,00;
DR8;42,4;39,4;M;3237;16286;16286;16286;16286;14250;69,12;20,74;1,60;0,00;
DR9;45,4;42,4;M;3237;16286;16286;16286;16286;15400;69,12;20,74;1,60;0,00;
DS1;22,2;19,8;M;3254;3142;3142;3142;3142;2381;14,11;5,18;1,25;0,00;
DS10;49,2;46,8;M;2565;2937;2937;2937;2937;7293;25,09;9,22;1,25;0,00;
DS11;52,2;49,8;M;2565;2937;2937;2937;2937;9200;25,09;9,22;1,25;0,00;
DS12;55,2;52,8;M;2565;2937;2937;2937;2937;11102;25,09;9,22;1,25;0,00;
DS13;58,2;55,8;M;2565;2937;2937;2937;2937;13012;25,09;9,22;1,25;0,00;
DS14;61,2;58,8;M;2565;2937;2937;2937;2937;14918;25,09;9,22;1,25;0,00;
DS2;25,2;22,8;M;3254;3142;3142;3142;3142;2671;14,11;5,18;1,25;0,00;
DS3;28,2;25,8;M;3254;3142;3142;3142;3142;3029;14,11;5,18;1,25;0,00;
DS4;31,2;28,8;M;3062;2990;2990;2990;2990;3560;14,11;5,18;1,25;0,00;
DS5;34,2;31,8;M;3062;2990;2990;2990;2990;4017;14,11;5,18;1,25;0,00;
DS6;37,2;34,8;M;2565;2937;2937;2937;2937;4585;25,09;9,22;1,25;0,00;
DS7;40,2;37,8;M;2565;2937;2937;2937;2937;5112;25,09;9,22;1,25;0,00;
DS8;43,2;40,8;M;2565;2937;2937;2937;2937;5723;25,09;9,22;1,25;0,00;
DS9;46,2;43,8;M;2565;2937;2937;2937;2937;6289;25,09;9,22;1,25;0,00;
F165CD/15;26,9;23,8;M;5047;417;15736;14486;1642;5979;61,95;10,58;3,97;0,00;
F165CD/18;29,9;26,8;M;5047;417;15736;14486;1642;6758;61,95;10,58;3,97;0,00;
F165CD/21;32,9;29,8;M;5047;417;15736;14486;1642;7593;61,95;10,58;3,97;0,00;
F165CD/24;35,9;32,8;M;5047;417;15736;14486;1642;8488;61,95;10,58;3,97;0,00;
